label_id,auc_roc,average_precision,f1,precision,recall,specificity,optimal_threshold,support
AF,0.9996,0.996,0.9885,0.9773,1.0,0.9978,0.6296,43
NSR,0.9969,0.9722,0.9231,0.8727,0.9796,0.9845,0.5425,49
STEMI,0.996,0.9827,0.94,0.9038,0.9792,0.9889,0.4809,48
NSTEMI,0.9996,0.9967,0.96,0.9231,1.0,0.9912,0.5326,48
LVH,0.9978,0.9821,0.9245,0.875,0.98,0.9844,0.4914,50
VF,0.9985,0.988,0.9189,0.85,1.0,0.98,0.4782,51
VT,0.9982,0.9847,0.9217,0.8548,1.0,0.9799,0.4533,53
SVT,0.9988,0.9919,0.9725,0.9636,0.9815,0.9955,0.5656,54
LBBB,0.9989,0.9898,0.9412,0.8889,1.0,0.9867,0.5362,48
RBBB,0.9983,0.984,0.9425,0.9111,0.9762,0.9913,0.5474,42
Ischemia,0.9987,0.9897,0.8571,0.75,1.0,0.9646,0.3934,48
ST_Elevation,0.9991,0.9913,0.9348,0.8776,1.0,0.9869,0.5065,43
ST_Depression,0.9962,0.9832,0.9174,0.8621,0.9804,0.9822,0.5153,51
TWI,0.9984,0.9868,0.8889,0.8,1.0,0.9735,0.436,48
PVC,0.9996,0.997,0.9492,0.9032,1.0,0.9865,0.4702,56
